Load Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini
Saved Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..aw/GL/VERSION/GL_2_1.py:1 <module>  1      0.000107  0.000915  0.000915
..ython/lib/python3.5/glob.py:9 glob  1      0.000018  0.000901  0.000901
..portlib._bootstrap>:35 _new_module  417    0.000899  0.000899  0.000002
..n3.5/ctypes/__init__.py:188 c_uint  2      0.000257  0.000896  0.000448
..ges/pygame/sndarray.py:58 <module>  2      0.000023  0.000892  0.000446
..proxies.py:351 QAbstractScrollArea  7      0.000035  0.000891  0.000127
..B/ES3_compatibility.py:18 <module>  1      0.000040  0.000891  0.000891
..ARB/texture_storage.py:31 <module>  1      0.000041  0.000890  0.000890
..on/lib/python3.5/glob.py:39 _iglob  5      0.000029  0.000881  0.000176
..p>:314 _installed_safely.__enter__  481    0.000869  0.000869  0.000002
..six.py:141 MovedAttribute.__init__  166    0.000628  0.000858  0.000005
..rs.py:53 _SelectorMapping.__init__  375    0.000856  0.000856  0.000002
..py:396 glShaderSource.finaliseCall  12     0.000481  0.000856  0.000071
..ython3.5/posixpath.py:318 normpath  21     0.000536  0.000842  0.000040
..n/lib/python3.5/enum.py:1 <module>  1      0.000029  0.000841  0.000841
..m/ctypesloader.py:50 buildFunction  151    0.000834  0.000834  0.000006
..n3.5/unittest/runner.py:1 <module>  1      0.000029  0.000832  0.000832
..py:96 ShaderProgram.check_validate  1      0.000123  0.000826  0.000826
..mportlib._bootstrap>:716 find_spec  538    0.000562  0.000823  0.000002
..penGL/GL/exceptional.py:1 <module>  3      0.000080  0.000821  0.000274
..encodings/cp437.py:14 Codec.decode  183    0.000448  0.000799  0.000004
..m_feedback_instanced.py:1 <module>  2      0.000076  0.000799  0.000399
..p>:159 _ModuleLockManager.__init__  566    0.000793  0.000793  0.000001
..email/_encoded_words.py:6 <module>  1      0.000033  0.000780  0.000780
..es.py:463 TypedImageInputConverter  97     0.000529  0.000780  0.000008
..nit__.py:799 StreamHandler.acquire  224    0.000530  0.000779  0.000003
../lib/python3.5/abc.py:151 register  6      0.000047  0.000771  0.000129
..ARB/geometry_shader4.py:1 <module>  1      0.000100  0.000762  0.000762
../raw/GL/KHR/__init__.py:1 <module>  23     0.000048  0.000758  0.000033
../context.py:22 AuthenticationError  27     0.000348  0.000756  0.000028
..s/pygame/pkgdata.py:34 getResource  1      0.000015  0.000755  0.000755
..hon/lib/python3.5/glob.py:78 glob1  1      0.000034  0.000755  0.000755
.._.py:2240 fixup_namespace_packages  88     0.000494  0.000755  0.000009
../images.py:443 ImageInputConverter  97     0.000529  0.000754  0.000008
..bootstrap_external>:34 _relax_case  1002   0.000749  0.000749  0.000001
..n3.5/difflib.py:43 SequenceMatcher  113    0.000555  0.000748  0.000007
..L/ARB/viewport_array.py:1 <module>  1      0.000095  0.000746  0.000746
..re_parse.py:217 Tokenizer.__init__  76     0.000482  0.000740  0.000010
..GL/ARB/texture_view.py:38 <module>  1      0.000036  0.000728  0.000728
..ces/_vendor/six.py:124 _LazyModule  3      0.000025  0.000727  0.000242
..n3.5/sre_compile.py:374 _mk_bitmap  27     0.000270  0.000724  0.000027
..texture_buffer_range.py:1 <module>  2      0.000082  0.000722  0.000361
